@relation defacto

@attribute name_feature string
@attribute page_rank_max numeric
@attribute page_rank_sum numeric
@attribute total_hit_count numeric
@attribute topic_coverage_sum numeric
@attribute topic_coverage_max numeric
@attribute topic_majority_web_sum numeric
@attribute topic_majority_web_max numeric
@attribute topic_majority_search_sum numeric
@attribute topic_majority_search_max numeric
@attribute number_of_confirming_facts numeric
@attribute number_of_confirming_sites numeric
@attribute total_positives_evidence_score numeric
@attribute total_negatives_evidence_score numeric
@attribute domain_range_check numeric
@attribute class {true,false}

@data
false/random/alma_mater_3.ttl,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,false
false/random/alma_mater_5.ttl,0,0,1003,0,0,0,0,0,0,0,0,0,0,0.5,false
false/random/alma_mater_6.ttl,0,0,414873,0,0,0,0,0,0,106,0,0,0,0.5,false
false/random/artist_1.ttl,0,0,23,?,?,0,0,0,0,0,0,0,0,0.5,false
false/random/artist_5.ttl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,false
false/random/artist_7.ttl,0,0,11,0,0,0,0,0,0,0,0,0,0,0.5,false
false/random/associated_musical_artist_5.ttl,0,0,1503321,0,0,0,0,0,0,32,0,0,0,0.5,false
false/random/associated_musical_artist_6.ttl,0,0,139881,0,0,0,0,0,0,1,0,0,0,0,false
false/random/associated_musical_artist_7.ttl,0,0,113916,?,?,0,0,0,0,0,0,0,0,0.5,false
false/random/award_3.ttl,0,0,78514,0,0,0,0,0,0,2,0,0,0,0.5,false
false/random/battle_1.ttl,0,0,11,0,0,0,0,0,0,0,0,0,0,0.5,false
false/random/battle_7.ttl,0,0,515000,0,0,0,0,0,0,25,0,0,0,0.5,false
false/random/battle_9.ttl,0,0,17,?,?,0,0,0,0,0,0,0,0,0.5,false
false/random/binomial_authority_4.ttl,0,0,334298,0,0,0,0,0,0,1,0,0,0,0.5,false
false/random/birth_place_2.ttl,0,0,310833,0,0,0,0,0,0,3,0,0,0,0,false
false/random/birth_place_5.ttl,0.022514,0.022514,75923772,0.005003,0.005003,0.990625,0.990625,0.465525,0.007505,130,0,0,0.007505,0.5,false
false/random/birth_place_6.ttl,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,false
false/random/branch_0.ttl,0,0,528436,0,0,0,0,0,0,85,0,0,0.009196,0.5,false
false/random/branch_3.ttl,0,0,130712300,0,0,0,0,0,0,169,0,0,0,1,false
false/random/city_0.ttl,0,0,36,0,0,0,0,0,0,0,0,0,0,0.5,false
false/random/city_1.ttl,0,0,2,0,0,0,0,0,0,1,0,0,0,0,false
false/random/city_9.ttl,0,0,641,?,?,0,0,0,0,0,0,0,0,0,false
false/random/class_8.ttl,0,0,261898,0,0,0,0,0,0,4,0,0,0,0,false
false/random/computing_platform_0.ttl,0,0,517297,0,0,0,0,0,0,13,0,0,0,0.5,false
false/random/computing_platform_1.ttl,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,false
false/random/computing_platform_2.ttl,0,0,223048,0,0,0,0,0,0,0,0,0,0,0.5,false
