@relation fact_checker

@attribute name_feature string
@attribute avg_page_rank_confirming numeric
@attribute avg_page_rank_non_confirming numeric
@attribute total_hit_count numeric
@attribute avg_topic_coverage_confirming numeric
@attribute avg_topic_coverage_non_confirming numeric
@attribute avg_topic_majority_web_confirming numeric
@attribute avg_topic_majority_web_non_confirming numeric
@attribute avg_topic_majority_search_confirming numeric
@attribute avg_topic_majority_search_non_confirming numeric
@attribute number_of_confirming_facts numeric
@attribute number_of_confirming_sites numeric
@attribute number_of_possibly_confirming_facts numeric
@attribute number_of_possibly_confirming_sites numeric
@attribute max_number_of_possible_confirming_fact numeric
@attribute total_evidence_score numeric
@attribute class {true,false}

@data
false/random/alma_mater_3.ttl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,false
false/random/alma_mater_5.ttl,0,0,1003,0,0.30303,0,251,0,5.757576,0,0,0,0,0,0,false
false/random/alma_mater_6.ttl,2,0,414873,0.666667,0.540945,174400,292082,0.789474,18.067669,6,1,12,6,11,7.5,false
false/random/artist_1.ttl,0,0,23,0,0,0,11,0,0,0,0,0,0,0,0,false
false/random/artist_5.ttl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,false
false/random/artist_7.ttl,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,false
false/random/associated_musical_artist_5.ttl,1.142857,0,1503321,0.732143,0.678846,284200,479181,1.678832,26.321168,1,1,10,7,3,2.5,false
false/random/associated_musical_artist_6.ttl,0,0,139881,1,0.656566,247,2054,0.65,42.25,0,0,1,1,1,0.1,false
false/random/associated_musical_artist_7.ttl,0,0,113916,0,0,0,104422,0,0,0,0,0,0,0,0,false
false/random/award_3.ttl,1.5,0,78514,0.777778,0.608547,72600,72882,0.507463,15.253731,0,0,2,2,1,0.2,false
false/random/battle_1.ttl,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,false
false/random/battle_7.ttl,0.333333,0,515000,0.716667,0.441176,118000,311800,0.277778,5.166667,0,0,16,3,1,1.9,false
false/random/battle_9.ttl,0,0,17,0,0,0,17,0,0,0,0,0,0,0,0,false
false/random/binomial_authority_4.ttl,5,0,334298,0.333333,0.485142,8,358387,0.069364,44,0,0,1,1,1,0.2,false
false/random/birth_place_2.ttl,0,0,310833,0.75,0.48642,288,268123,0.262774,17.386861,0,0,2,2,1,0.5,false
false/random/birth_place_5.ttl,2.384615,0,75923772,0.738095,0.620626,29541000,30491923,6.728205,73.938462,1,1,18,14,30,3.7,false
false/random/birth_place_6.ttl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,false
false/random/branch_0.ttl,3.6,0,528436,0,0,298200,364087,0,0,0,0,9,5,21,1.6,false
false/random/branch_3.ttl,3,0,130712300,0.393939,0.197811,6409000,10428124,0.491228,4.280702,0,0,11,6,1,1.7,false
false/random/city_0.ttl,0,0,36,0,0,0,14,0,0,0,0,0,0,0,0,false
false/random/city_1.ttl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,false
false/random/city_9.ttl,0,0,641,0,0,0,476,0,0,0,0,0,0,0,0,false
false/random/class_8.ttl,2,0,261898,0.28125,0.138889,86000,118932,0.081818,1.663636,0,0,2,2,1,0.3,false
false/random/computing_platform_0.ttl,4,0,517297,0.4,0.034848,672800,744790,0.125926,0.481481,0,0,5,3,1,0.8,false
false/random/computing_platform_1.ttl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,false
false/random/computing_platform_2.ttl,0,0,223048,0,0.216095,0,192,0,0.655738,0,0,0,0,0,0,false
false/random/computing_platform_8.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
false/random/country_3.ttl,0,0,253326,0,0.099057,0,233038,0,2.584906,0,0,0,0,0,0,false
