15:00:03,025  INFO StanfordNLPNamedEntityRecognition:45 - Loading model from: edu/stanford/nlp/models/ner/english.muc.7class.distsim.crf.ser.gz
15:02:22,095  INFO StanfordNLPNamedEntityRecognition:45 - Loading model from: edu/stanford/nlp/models/ner/english.muc.7class.distsim.crf.ser.gz
15:03:49,412  INFO StanfordNLPNamedEntityRecognition:45 - Loading model from: edu/stanford/nlp/models/ner/english.muc.7class.distsim.crf.ser.gz
15:04:26,509  INFO StanfordNLPNamedEntityRecognition:45 - Loading model from: edu/stanford/nlp/models/ner/english.muc.7class.distsim.crf.ser.gz
15:06:01,591  INFO StanfordNLPNamedEntityRecognition:45 - Loading model from: edu/stanford/nlp/models/ner/english.muc.7class.distsim.crf.ser.gz
15:08:40,076  INFO QueryGenerator:67 - Generated 1 queries for fact: http://rdf.freebase.com/ns/m.02_3cr6 @http://dbpedia.org/ontology/subsidiary http://rdf.freebase.com/ns/m.02whbs_
15:08:40,710  INFO DomainRangeCheckFeature:34 - DR-Feature DOMAIN: SELECT * WHERE { <http://dbpedia.org/ontology/subsidiary> rdfs:domain ?dom }
15:09:09,823  INFO DomainRangeCheckFeature:56 - DR-Feature DOMAIN: SELECT * WHERE { <http://dbpedia.org/ontology/subsidiary> rdfs:range ?ran }
15:11:01,566  INFO QueryGenerator:67 - Generated 1 queries for fact: http://rdf.freebase.com/ns/m.02_3cr6 @http://dbpedia.org/ontology/subsidiary http://rdf.freebase.com/ns/m.02whbs_
15:11:01,761  INFO DefaultSearchEngine:37 - Query: 'Selectica|-|??? NONE ???|-|Determine Software|-|en' was not found in the cache, starting to query!
15:11:04,316  INFO EvidenceCrawler:212 - Creating thread pool for 10 html crawlers!
15:11:14,758  INFO EvidenceCrawler:169 - Creating thread pool for 4 parsers!
15:11:14,967  INFO Solr4SearchResultCache:130 - Added Selectica|-|??? NONE ???|-|Determine Software|-|en to cache!
15:11:15,677  INFO DomainRangeCheckFeature:34 - DR-Feature DOMAIN: SELECT * WHERE { <http://dbpedia.org/ontology/subsidiary> rdfs:domain ?dom }
